
METHOD GetCart
Start,Duration,IsError
1748957936913384176,1548897,false
1748957938853403693,1320582,false
1748957944914106662,1562517,false
1748957953584026459,1311795,false
1748957955433668244,1511343,false
1748957957303939902,1433813,false
1748957978313811600,1341172,false
1748957990724093359,1492779,false
1748958000643618244,1557299,false
1748958002483399558,1600303,false
1748958008544010722,1301242,false
1748958011433298271,1339815,false
1748958019433811450,1296206,false
1748958030763705711,1283161,false
1748958036504056642,1583263,false
1748958038533973351,1345131,false
1748958049494015882,1330179,false
1748958061644196946,1383789,false
1748958080144216150,1450636,false
1748958082233293444,1330595,false
1748958086463412140,1583280,false
1748958094294177554,1846580,false
1748958096104046047,1664003,false
1748958104404355181,1269919,false
1748958111973440196,1295335,false
1748958140114270046,1315449,false
1748958141073700132,1201008,false
1748958154333876274,1673743,false
1748958162673369407,1335542,false
1748958171653573965,1297609,false
1748958184183646058,1616348,false
1748958185193307622,1614887,false
1748958190093419177,1376212,false
1748958193283883120,1390232,false
1748958198453594450,1419435,false
1748958200373410554,1326639,false
1748958207234104084,1321995,false
1748958217764065352,1462452,false
METHOD PostCard
Start,Duration,IsError
1748957937904050852,2359820,false
1748957939803725661,2337606,false
1748958109103875748,2202682,false
1748958113103270239,1969098,false
1748958156283222904,1970451,false
1748958174844121738,2485727,false
METHOD NewOrder
Start,Duration,IsError
1748957934873562568,7700494425,false
1748957947893468721,2495320,true
1748957948893903107,1857647,true
1748957971423427553,4945353,false
1748957975333845989,5121000,false
1748957977364056311,1858120,true
1748957982403979753,4240963,false
1748957988603295636,4487292,false
1748957993773490267,4101933,false
1748958009563416803,4536695,false
1748958015423827085,4704322,false
1748958025583501638,4808802,false
1748958027833374177,4640589,false
1748958032623188253,1897081,true
1748958040853597311,4617851,false
1748958060574132351,5089113,false
1748958090333891843,6212198,false
1748958105343858008,5190793,false
1748958123893965981,4941329,false
1748958146304194048,5212004,false
1748958152333496523,4556738,false
1748958157373300114,4666771,false
1748958164853215751,4345320,false
1748958189023484851,4952540,false
1748958222713937701,4659746,false
METHOD ListTags
Start,Duration,IsError
1748957943013391895,1279277,false
1748957945943878655,1390502,false
1748957946983294869,1260738,false
1748957954413260339,1253395,false
1748957958283630338,1173604,false
1748957961394025783,1151184,false
1748957965343982553,1285875,false
1748957967214063418,1099248,false
1748957968213240555,1062471,false
1748957974533642759,1421766,false
1748957983524268654,1202842,false
1748957985513533565,1181418,false
1748957989553588652,1229828,false
1748957996943906351,1235261,false
1748958001623238103,1294655,false
1748958016423416989,1296695,false
1748958028793880090,1293635,false
1748958035433809951,3008321,false
1748958037483624758,1314219,false
1748958041704147792,1233021,false
1748958042703700714,1188271,false
1748958043633820925,1237549,false
1748958044674178212,1179639,false
1748958048573983235,1088408,false
1748958062613646802,1227535,false
1748958073483764596,1135311,false
1748958074383852333,1096658,false
1748958078194162055,1169302,false
1748958092323326423,1328636,false
1748958093454014741,1216101,false
1748958097173789477,1254475,false
1748958101163434073,1124274,false
1748958107153222575,1151894,false
1748958119163245018,1119191,false
1748958120123355900,1035977,false
1748958122974010874,1025274,false
1748958126713863839,1240474,false
1748958129753744795,1170938,false
1748958134624031904,1028787,false
1748958138033818747,1056104,false
1748958143303456390,1206995,false
1748958147493562087,1537306,false
1748958150203915734,1095777,false
1748958172643880093,1086128,false
1748958177613784782,1167641,false
1748958179894143253,1070641,false
1748958199343246755,1126358,false
1748958209303776459,1107221,false
1748958212543204958,1086467,false
1748958227643737462,1092521,false
METHOD PostAddress
Start,Duration,IsError
1748958012363783789,2342192,false
1748958053753515894,2378376,false
1748958056693650068,2408960,false
1748958070583808305,2528863,false
1748958075334065572,2519810,false
1748958077273908850,2209289,false
1748958085403820603,2542410,false
1748958111053520718,1977345,false
1748958155423741045,2561087,false
METHOD ListItems
Start,Duration,IsError
1748957928573163809,3208622,false
1748957943943591288,3724871,false
1748957952694129596,3122929,false
1748957962354225259,3214180,false
1748957976394027711,3219553,false
1748957984543494481,3109652,false
1748957994763593553,3184356,false
1748957997924119616,3228273,false
1748958004443727748,3390350,false
1748958014353623564,3111599,false
1748958021453794981,3008258,false
1748958031733974751,3501094,false
1748958050393262025,2991015,false
1748958052673557362,3005705,false
1748958054673933455,3047548,false
1748958058643739239,3077422,false
1748958079073210039,3078596,false
1748958083213633584,3083936,false
1748958084273809860,2989119,false
1748958121053249007,3023572,false
1748958122004066790,2995268,false
1748958130733666025,2981142,false
1748958144404032665,3553554,false
1748958145483513437,3457547,false
1748958158574079345,3341767,false
1748958167033788687,3526744,false
1748958169823593682,2922531,false
1748958178824164177,3048286,false
1748958183293821679,3018237,false
1748958186063551546,3240056,false
1748958195413435637,3206156,false
1748958197433984980,3597587,false
1748958204253677599,2902521,false
1748958211573458537,2909922,false
1748958213513321757,2984109,false
1748958214524184368,3192562,false
1748958224744027306,3077826,false
METHOD Register
Start,Duration,IsError
1748957932033462494,2667191,false
1748957956384201545,1797013,false
1748957999633523307,1944997,false
1748958068313373116,3305946,false
1748958165953733484,1959001,false
1748958194383421914,1830360,false
1748958215653423844,1841991,false
1748958216643418520,1509197,false
METHOD AddItem
Start,Duration,IsError
1748957929663300335,2897333214,false
1748957930603332833,1961784547,false
1748957932863431565,3503587,false
1748957933924034029,3563941,false
1748957935903710194,3642656,false
1748957940744200037,3540311,false
1748957941863991702,3510584,false
1748957949853787896,3704644,false
1748957950863591702,4412271,false
1748957951783934830,4102883,false
1748957959363892954,3516620,false
1748957960413497409,3338736,false
1748957963404199408,3393920,false
1748957964233670316,3183486,false
1748957966214198247,3738658,false
1748957969323416664,3481557,false
1748957970364102298,3234650,false
1748957972403202985,3651957,false
1748957973484060387,3418427,false
1748957979323262485,3617708,false
1748957980464051390,4241723,false
1748957981423243718,3562778,false
1748957986513735448,3856592,false
1748957987523722820,3430243,false
1748957991843874199,3416430,false
1748957992833290783,3245189,false
1748957995793683588,3927359,false
1748957998834049405,3573251,false
1748958003504222050,3541881,false
1748958005443974614,3904625,false
1748958006604164905,3597148,false
1748958007433597996,3289504,false
1748958010483774484,3559717,false
1748958013394172233,3492574,false
1748958017353732058,3519267,false
1748958018323390881,3313309,false
1748958020454149550,3368277,false
1748958022564258214,3282740,false
1748958023553606698,3960896,false
1748958024633806297,3699982,false
1748958026794402665,3724045,false
1748958029814022306,3494473,false
1748958033614232156,3661488,false
1748958034363760677,3956745,false
1748958039773794111,3628314,false
1748958045723445463,3837639,false
1748958046584214240,3373053,false
1748958047473477707,3219630,false
1748958051403902781,3371003,false
1748958055713897102,3746562,false
1748958057624194654,3512807,false
1748958059563576865,3386994,false
1748958063453927829,3549364,false
1748958064473654489,3900349,false
1748958065373524648,3911848,false
1748958066343522290,3518528,false
1748958067283962962,3335663,false
1748958069584157479,3599981,false
1748958071463254440,3752795,false
1748958072414119300,4578452,false
1748958076303570159,4255453,false
1748958081153805348,3389557,false
1748958087483972865,3569801,false
1748958088183250128,3146615,false
1748958089103426153,3111972,false
1748958091404066834,3326530,false
1748958095173931781,3947856,false
1748958098284172504,3640635,false
1748958099253934077,3262302,false
1748958100164175909,3217219,false
1748958102103715570,3133782,false
1748958103193967327,3057819,false
1748958106143248942,3964029,false
1748958108093550100,3182143,false
1748958110144186777,3219703,false
1748958113993202415,3182025,false
1748958114863325553,3196216,false
1748958115913693016,3783454,false
1748958116933598576,3205166,false
1748958117983864598,3102639,false
1748958124873812447,4128976,false
1748958125713809201,3940572,false
1748958127673245214,3464003,false
1748958128773870242,3811154,false
1748958131653416612,3287927,false
1748958132533683955,3098916,false
1748958133553861349,3089786,false
1748958135923423614,3944982,false
1748958137013504626,3159119,false
1748958139033889904,3178876,false
1748958142123947106,3317712,false
1748958148373989858,3989893,false
1748958149323997842,3956665,false
1748958151294109567,3334697,false
1748958153374114623,3757522,false
1748958159763522994,3492863,false
1748958160754011315,3158999,false
1748958161694137043,3187223,false
1748958163853956283,3241863,false
1748958167953675588,3639671,false
1748958168873334490,3294600,false
1748958170843375233,3258159,false
1748958173663983873,3798509,false
1748958175683492247,3869595,false
1748958176613412096,3252776,false
1748958181123575217,3451721,false
1748958182194105155,3326550,false
1748958186963544888,3387807,false
1748958187903962039,3265782,false
1748958191133853528,3523124,false
1748958192173608060,3158586,false
1748958196423489242,3474717,false
1748958201343819563,3288256,false
1748958202364182547,3180933,false
1748958203293319141,3218859,false
1748958205143321070,3363386,false
1748958206213782500,3169659,false
1748958208183420610,3223396,false
1748958210434123611,3185252,false
1748958218733636799,3508464,false
1748958219813370171,3162385,false
1748958220653401631,3205713,false
1748958221733698817,3144733,false
1748958223683580018,3375337,false
1748958225724134937,3395604,false
1748958226703556474,3231463,false
