
METHOD AddItem
Start,Duration,IsError
1748958808928590352,1477384790,false
1748958808693214026,1716039332,false
1748958811463846087,3476643,false
1748958811743818792,3041635,false
1748958809493831569,2901032363,false
1748958809759238648,2636197556,false
1748958810253616804,2141933770,false
1748958813741474552,3403514,false
1748958813993223085,2992828,false
1748958814223513837,2889961,false
1748958816118219155,3243329,false
1748958816380761536,3054589,false
1748958817128736156,3093892,false
1748958817336140557,2905874,false
1748958817831619283,2976556,false
1748958818608281978,3359070,false
1748958818869023679,3515531,false
1748958819378262978,3232942,false
1748958819648851809,3260802,false
1748958821108356576,3279433,false
1748958821394034681,3237665,false
1748958821633531403,3183226,false
1748958822906085445,3161099,false
1748958823158635847,2986686,false
1748958824238230651,3625057,false
1748958824486177028,3457421,false
1748958825225756208,3318950,false
1748958825985816772,3141700,false
1748958827153774906,3099772,false
1748958827638247157,3038499,false
1748958827928654825,3022088,false
1748958828135920217,3022721,false
1748958828898438480,3201013,false
1748958829626120207,3064945,false
1748958830616656054,3510984,false
1748958830858434288,3208609,false
1748958831391587894,3037215,false
1748958831919256266,3010502,false
1748958832166702949,2908062,false
1748958832435910757,2936621,false
1748958832975753288,3103848,false
1748958833730846972,3034795,false
1748958834680769006,3189919,false
1748958834868247075,2943225,false
1748958836221317414,3111762,false
1748958837708264127,3293143,false
1748958837923968038,3044465,false
1748958838146402138,3062085,false
1748958839128715233,3058219,false
1748958840206305659,3181863,false
1748958840683416970,3079399,false
1748958841168953020,2950418,false
1748958842140759881,3060282,false
1748958842396257725,2985050,false
1748958842621678014,3046776,false
1748958842864044086,2963668,false
1748958843098251597,2997235,false
1748958843673627926,2993649,false
1748958844143263149,4635821,false
1748958844381213167,3150826,false
1748958845353395503,3259812,false
1748958846565862934,3239953,false
1748958848148184536,3178042,false
1748958848323614331,2942065,false
1748958848553879742,3013102,false
1748958849128650372,3312860,false
1748958850071512902,3040939,false
1748958850848905357,3045712,false
1748958851091320563,3160245,false
1748958851318875420,2941578,false
1748958851803570585,3032585,false
1748958852075899264,3058902,false
1748958852813672413,3126052,false
1748958853301577310,3108929,false
1748958853813763870,3485981,false
1748958854776110977,3338107,false
1748958854993742688,2963022,false
1748958855256074226,3702145,false
1748958855511124856,3029745,false
1748958855773629085,2884354,false
1748958857495919939,3235556,false
1748958857706469993,2946835,false
1748958858195941028,3108424,false
1748958858471552053,3042635,false
1748958859191207451,2999649,false
1748958859411523882,2920035,false
1748958859665713058,2941268,false
1748958860258409662,2969692,false
1748958860531767009,3169909,false
1748958861036452927,3055119,false
1748958861808879378,2985272,false
1748958863370822735,3232502,false
1748958863608314458,3142532,false
1748958864101068885,3173763,false
1748958864621239354,3193929,false
1748958866218694725,3482513,false
1748958866466510276,3080692,false
1748958866700864467,3579631,false
1748958867241401900,3158159,false
1748958868266651268,3400976,false
1748958868496361326,3276740,false
1748958868989050767,3098842,false
1748958869693635720,3323283,false
1748958870198772009,3275543,false
1748958870431307875,3019822,false
1748958871558449289,2939194,false
1748958871825681073,2988703,false
1748958873019096922,2959451,false
1748958873253299966,2885008,false
1748958874061251710,3541677,false
1748958874321137371,3257419,false
