
METHOD ListItems
Start,Duration,IsError
1749514360924875678,3366035,false
1749514376295220521,3515720,false
1749514385045913746,3613055,false
1749514394705079443,3621027,false
1749514408745719742,3525641,false
1749514416895847677,3902629,false
METHOD AddItem
Start,Duration,IsError
1749514362015316812,15875207,false
1749514362955186050,4076376,false
1749514365215440794,4866523,false
1749514366275423981,4109213,false
1749514368255560656,4832410,false
1749514373095296709,4371424,false
1749514374215910169,4311285,false
1749514382205098037,5777873,false
1749514383215915784,4220021,false
1749514384135069922,3938609,false
1749514391715640046,4265606,false
1749514392764986888,4185981,false
1749514395755537693,4308591,false
1749514396585810036,3734631,false
1749514398564995883,3793485,false
1749514401675791461,3759841,false
1749514402715793989,3751148,false
1749514404755828548,4243444,false
1749514405835199465,3797465,false
1749514411675359110,4769595,false
1749514412815299493,3867856,false
1749514413775299015,3735831,false
1749514418865497214,4640554,false
1749514419875337028,3767075,false
METHOD Register
Start,Duration,IsError
1749514364385829247,2676368,false
1749514388735742871,2348959,false
METHOD NewOrder
Start,Duration,IsError
1749514367225593429,40283597,false
1749514380245532013,8935814,false
1749514381245352960,2698597,true
1749514403775911165,8075908,false
1749514407685240558,6412403,false
1749514409715020282,2605864,true
1749514414755056767,6468172,false
METHOD GetCart
Start,Duration,IsError
1749514369265428639,1924221,false
1749514371205468223,1943931,false
1749514377265541519,2161702,false
1749514385935272426,1746834,false
1749514387785920064,1828551,false
1749514389655028274,1686764,false
1749514410665062047,3164132,false
METHOD PostCard
Start,Duration,IsError
1749514370255461009,2948105,false
1749514372155380059,2375923,false
METHOD ListTags
Start,Duration,IsError
1749514375365372835,1914114,false
1749514378295738945,2055971,false
1749514379334922761,1702907,false
1749514386765952855,1852481,false
1749514390635892623,1578843,false
1749514393745338958,1797653,false
1749514397695755842,1373072,false
1749514399565898160,1374022,false
1749514400565291824,1382569,false
1749514406884963541,1472506,false
1749514415875540088,1752485,false
1749514417865751082,1748384,false
